"","technology","costBracket","V1","unit_id","isp","advertised.down","advertised.up","tz.offset","tz.offset.dst","state","region","medianUp","medianDown","medianLatency","medianJitterUp","medianJitterDown","medianLossUp","medianLossDown","medianLoss","monthly.charge","sampleFreq","sampleWeight","weight","sampleWeight.normalized","popWeight.normalized"
"2399","CABLE",80,"2726",13506,"Cox",25,5,-6,-5,"FL","SOUTH",655815.5,3624770.5,38655,2385,888,1,1,0,66.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2400","CABLE",80,"2729",13556,"Cox",25,5,-6,-5,"FL","SOUTH",677365.5,3630586.5,40814.5,2269.5,978.5,1,1,0,66.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2401","CABLE",80,"2733",13567,"Cox",25,5,-6,-5,"RI","NORTHEAST",652360,3808914.5,14997,1685,922,1,1,0,66.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2402","CABLE",80,"2739",13580,"Cox",25,5,-6,-5,"KS","MIDWEST",696734,3679480.5,27139,1556,944,1,1,0,66.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2403","CABLE",80,"2748",13619,"Cox",25,5,-6,-5,"FL","SOUTH",659061.5,3031679.5,43857,2711,955,1,1,0,66.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2404","CABLE",80,"2751",13626,"Cox",25,5,-5,-4,"CT","NORTHEAST",709217,3691158,19153,2091,864,1,1,0,66.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2405","CABLE",80,"2776",14418,"Comcast",5,1,-6,-5,"OK","SOUTH",146999.5,733360,34879,3311,882,1,1,0,47.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2406","CABLE",80,"2791",14687,"Cablevision",15,5,-5,-4,"NY","NORTHEAST",649252,2291815,10905,1879,1091,1,1,0,52.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2407","CABLE",80,"2843",26309,"Cablevision",15,5,-5,-4,"NY","NORTHEAST",636952.5,2293788,10213,1439.5,198,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2408","CABLE",80,"2900",26522,"Cablevision",15,5,-5,-4,"NJ","NORTHEAST",634632.5,2293620,12452,1579,362,1,1,0,52.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2409","CABLE",80,"2956",26675,"Cablevision",15,5,-5,-4,"NJ","NORTHEAST",655216,2322809,16599.5,4252.5,857,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2410","CABLE",80,"2958",26684,"Cablevision",15,5,-5,-4,"NY","NORTHEAST",654240,2320694.5,15008,2245,399,1,1,0.0543478260869565,52.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2411","CABLE",80,"2964",26697,"Cablevision",15,5,-5,-4,"NY","NORTHEAST",653189,2293432.5,11102,1359,337,1,1,0,52.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2412","CABLE",80,"2976",26732,"Cablevision",15,5,-5,-4,"NY","NORTHEAST",631059.5,2293676,12530.5,1897.5,342.5,1,1,0,52.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2413","CABLE",80,"3000",26813,"Cablevision",15,5,-5,-4,"NY","NORTHEAST",651674,2319376,13830,2521,414,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2414","CABLE",80,"3019",26890,"Cox",50,10,-5,-4,"VA","SOUTH",1306449,3187018.5,10114,1504,432,1,1,0,78.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2415","CABLE",80,"3030",26938,"Brighthouse",10,1,-6,-5,"FL","SOUTH",149670,1418406,37365,1810,495,1,1,0,47.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2416","CABLE",80,"3132",27237,"Cox",25,5,-8,-7,"CA","WEST",678738,3755113.5,11687.5,1692,264.5,1,1,0,66.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2417","CABLE",80,"3163",27337,"Mediacom",20,2,-6,-5,"IA","MIDWEST",302872.5,2767240.5,18599,2209,322,1,1,0.056274620146314,67.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
